Legal Description,Legal Description Link,Address
N/A,N/A,Failed to retrieve address
N/A,N/A,Failed to retrieve address
L8 M27-586,https://meckrod.manatron.com/RealEstate/SearchDetail.aspx?bk=27&pg=586&type=BkPg,509 CLAIRVIEW LN MATTHEWS NC 28105
L62 B3 M27-648,https://meckrod.manatron.com/RealEstate/SearchDetail.aspx?bk=27&pg=648&type=BkPg,8901 WALDEN RIDGE DR CHARLOTTE NC 28216
N/A,N/A,Failed to retrieve address
N/A,N/A,Failed to retrieve address
N/A,N/A,Failed to retrieve address
N/A,N/A,Failed to retrieve address
L1 BE M44-273,https://meckrod.manatron.com/RealEstate/SearchDetail.aspx?bk=44&pg=273&type=BkPg,100 ABINGDON CR HUNTERSVILLE NC 28078
L4 B3 M21-839,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00210839&Close=True,100 ALDEN LN HUNTERSVILLE NC 28078
P32 B5 M3-94,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00030094&Close=True,1000 AMBASSADOR ST CHARLOTTE NC 28208
L1 M21-781,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00210781&Close=True,100 AMRITA CT CHARLOTTE NC 28211
L28 B6 M22-895,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00220895&Close=True,100 AURORA LN HUNTERSVILLE NC 28078
L112-115 M5-83,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00050083&Close=True,100 AUTEN ST HUNTERSVILLE NC 28078
P9 B4 M3-35,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00030035&Close=True,100 BACON AV CHARLOTTE NC 28216
L50 B6 M22-895,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00220895&Close=True,100 BATH CR HUNTERSVILLE NC 28078
L1 M16-316,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00160316&Close=True,100 BAUCOM LN HUNTERSVILLE NC 28078
L1M19-307,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00190307&Close=True,100 BECKHAM CT CHARLOTTE NC 28211104 BECKHAM CT CHARLOTTE NC 28211100 BECKHAM CT CHARLOTTE NC 28211
N/A,N/A,100 BILLINGSLEY RD CHARLOTTE NC 28211100 BILLINGSLEY RD CHARLOTTE NC 28211106 BILLINGSLEY RD CHARLOTTE NC 28211
L4-8 L16-18 & P15 B6 M332-16 & L53 M3-107,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=03320016&Close=True,100 BRADFORD DR CHARLOTTE NC 28208100 BRADFORD DR CHARLOTTE NC 28208110 BRADFORD DR CHARLOTTE NC 28208108 BRADFORD DR CHARLOTTE NC 28208
L26 M19-307,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00190307&Close=True,100 CABELL WY CHARLOTTE NC 28211100 CABELL WY CHARLOTTE NC 28211102 CABELL WY CHARLOTTE NC 28211
N/A,N/A,201 CONROY AV DAVIDSON NC 28036
N/A,N/A,100 CAMBRIDGE RD HUNTERSVILLE NC 28078
L18 B3 M21-839,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00210839&Close=True,100 CANADICE RD HUNTERSVILLE NC 28078
L21 B3 M21-839,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00210839&Close=True,100 CARLOS DR HUNTERSVILLE NC 28078
M69-693,https://meckrod.manatron.com/RealEstate/SearchDetail.aspx?bk=69&pg=693&type=BkPg,12815 STATESVILLE RD HUNTERSVILLE NC 2807812815 STATESVILLE RD HUNTERSVILLE NC 2807812626 MT HOLLY-HUNTERSVILLE RD HUNTERSVILLE NC 28078
L17 BA M14-463,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00140463&Close=True,100 CHADMORE DR CHARLOTTE NC 28270
P53 M20-604,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00200604&Close=True,100 CHAPHYN LN MATTHEWS NC 28105
P114 M14-449,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00140449&Close=True,100 CHARING CROSS DR MATTHEWS NC 28105
P1 M9-523,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00090523&Close=True,6425 SARDIS RD CHARLOTTE NC 28211
L74 BA M20-486,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00200486&Close=True,100 COACH RIDGE TL MATTHEWS NC 28105
N/A,N/A,100 COLLEGE ST PINEVILLE NC 28134
P1 B1 M16-15,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00160015&Close=True,100 COLONY ACRES DR CHARLOTTE NC 28217
L10 BA M14-463,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00140463&Close=True,100 CONDOVER PL CHARLOTTE NC 28270
P2 M1166-547,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Deed&Instrument=11660547&Close=True,100 COURTNEY LN MATTHEWS NC 28105
L1M19-160,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00190160&Close=True,100 CREEK VALLEY DR CHARLOTTE NC 28270
P16 B2 M10-129,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00100129&Close=True,100 CRESTWAY CR CHARLOTTE NC 28216100 CRESTWAY CR 1 CHARLOTTE NC 28216100 CRESTWAY CR 2 CHARLOTTE NC 28216100 CRESTWAY CR CHARLOTTE NC 28216
L63-66 M5-83,https://meckrodhistorical.com/DocumentView.asp?DocumentType=Maps&Instrument=00050083&Close=True,100 DALLAS ST HUNTERSVILLE NC 28078
